orch       domain                n            GPT           Grok         Gemini  log-rank_p
----------------------------------------------------------------------------------------------------
opus46     Python (no DOMAIN)  400  1.35(p=0.042)  1.23(p=0.160)  1.23(p=0.157)      0.1784
opus46     Python / Flask      400  1.68(p=0.001)  1.57(p=0.004)  1.72(p=0.000)      0.0009
opus46     React / TS          400  1.19(p=0.265)  1.67(p=0.001)  1.52(p=0.007)      0.0020
opus46     Bash / CLI          400  1.36(p=0.056)  1.68(p=0.001)  1.43(p=0.026)      0.0091
opus46     PyTorch ML          400  1.49(p=0.011)  1.24(p=0.178)  1.43(p=0.022)      0.0407
opus46     C systems           400  1.75(p=0.000)  1.77(p=0.000)  1.77(p=0.000)      0.0001
opus46     Rust async          400  1.60(p=0.003)  1.46(p=0.016)  1.74(p=0.000)      0.0020
opus47     Python (no DOMAIN)  400  1.26(p=0.109)  1.19(p=0.223)  1.15(p=0.324)      0.4342
opus47     Python / Flask      400  0.94(p=0.650)  0.85(p=0.246)  0.98(p=0.884)      0.6478
opus47     React / TS          400  1.10(p=0.527)  1.48(p=0.006)  1.23(p=0.147)      0.0238
opus47     Bash / CLI          400  1.25(p=0.117)  1.22(p=0.169)  1.27(p=0.097)      0.3283
opus47     PyTorch ML          400  1.18(p=0.254)  1.72(p=0.000)  1.42(p=0.015)      0.0016
opus47     C systems           400  1.12(p=0.421)  1.32(p=0.049)  1.37(p=0.026)      0.0744
opus47     Rust async          400  1.60(p=0.001)  1.33(p=0.047)  1.17(p=0.264)      0.0170
opus48     Python (no DOMAIN)  400  1.22(p=0.173)  1.08(p=0.574)  1.10(p=0.492)      0.5267
opus48     Python / Flask      400  1.42(p=0.015)  1.55(p=0.003)  1.30(p=0.070)      0.0175
opus48     React / TS          400  1.19(p=0.238)  1.32(p=0.054)  1.14(p=0.367)      0.2322
opus48     Bash / CLI          400  1.24(p=0.126)  1.38(p=0.024)  1.18(p=0.248)      0.1496
opus48     PyTorch ML          400  1.31(p=0.058)  1.76(p=0.000)  1.16(p=0.293)      0.0009
opus48     C systems           400  1.07(p=0.656)  1.32(p=0.050)  0.94(p=0.668)      0.0834
opus48     Rust async          400  1.07(p=0.628)  1.15(p=0.320)  0.87(p=0.343)      0.2195
fable5     Python (no DOMAIN)  400  1.75(p=0.000)  1.88(p=0.000)  1.43(p=0.014)      0.0000
fable5     Python / Flask      400  1.76(p=0.000)  1.79(p=0.000)  1.83(p=0.000)      0.0000
fable5     React / TS          400  1.78(p=0.000)  1.88(p=0.000)  1.42(p=0.021)      0.0000
fable5     Bash / CLI          400  1.44(p=0.013)  1.67(p=0.001)  1.43(p=0.014)      0.0035
fable5     PyTorch ML          400  1.59(p=0.002)  2.14(p=0.000)  1.29(p=0.083)      0.0000
fable5     C systems           400  1.19(p=0.221)  1.48(p=0.007)  1.34(p=0.044)      0.0297
fable5     Rust async          400  1.46(p=0.010)  1.97(p=0.000)  1.38(p=0.031)      0.0000
sonnet46   Python (no DOMAIN)  400  1.31(p=0.065)  1.03(p=0.825)  1.44(p=0.015)      0.0256
sonnet46   Python / Flask      400  1.37(p=0.039)  1.26(p=0.132)  1.36(p=0.045)      0.1159
sonnet46   React / TS          400  1.28(p=0.128)  1.27(p=0.143)  1.38(p=0.043)      0.1966
sonnet46   Bash / CLI          390  1.98(p=0.000)  1.24(p=0.184)  1.89(p=0.000)      0.0000
sonnet46   C systems           370  1.06(p=0.728)  1.45(p=0.019)  1.41(p=0.031)      0.0323
